comps,comp_ranking,top_comp_share,top_0.2comp_share,comp_GINI
0.0 0.0 0.0 0.0 0.0 0.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0 0.04 0.0 0.06 0.0 0.0 0.0 0.05 0.0 0.0 0.05 0.0 0.0 0.0 0.0,3624,0.32651173917333814,1.0,0.84433562222235037
0.0 0.0 0.0 0.0 0.0 0.0 0.21 0.0 0.01 0.0 0.0 0.0 0.01 0.01 0.04 0.0 0.31 0.01 0.02 0.02 0.02 0.0 0.0 0.0 0.02 0.0 0.06,329,0.40814208606353125,0.86250243984440689,0.82235705630223799
0.05 0.0 0.01 0.01 0.0 0.0 0.18 0.01 0.0 0.07 0.0 0.01 0.0 0.0 0.04 0.0 0.0 0.06 0.03 0.03 0.02 0.02 0.0 0.0 0.07 0.0 0.03,556,0.28700134897077312,0.67866978929725874,0.69123507871101331
0.0 0.0 0.0 0.0 0.0 0.0 0.08 0.0 0.0 0.0 0.0 0.08 0.0 0.03 0.0 0.0 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.01 0.0 0.0 0.0,5912,0.3942717498931082,1.0,0.88611275890967212
0.0 0.0 0.0 0.0 0.0 0.02 0.1 0.01 0.0 0.0 0.0 0.01 0.0 0.0 0.53 0.0 0.0 0.02 0.0 0.03 0.01 0.0 0.01 0.0 0.0 0.0 0.01,331,0.69596608460749199,0.9103623270950717,0.88489004440433661
0.0 0.0 0.02 0.0 0.0 0.0 0.07 0.01 0.02 0.08 0.0 0.0 0.0 0.0 0.01 0.09 0.0 0.01 0.04 0.07 0.01 0.01 0.05 0.0 0.1 0.0 0.13,351,0.17738674519690326,0.63525660177859233,0.67259367400825831
0.0 0.0 0.03 0.0 0.01 0.0 0.14 0.03 0.0 0.0 0.0 0.01 0.01 0.0 0.03 0.04 0.0 0.0 0.04 0.07 0.01 0.0 0.0 0.03 0.03 0.01 0.03,1102,0.26522972155880997,0.61862448928522518,0.67503665701856963
0.0 0.0 0.11 0.0 0.0 0.0 0.11 0.04 0.01 0.02 0.0 0.0 0.0 0.01 0.02 0.03 0.0 0.02 0.06 0.06 0.02 0.02 0.01 0.1 0.14 0.0 0.05,224,0.16118184938364896,0.62643372161677269,0.64561541281399104
0.02 0.0 0.0 0.0 0.0 0.0 0.08 0.0 0.0 0.02 0.0 0.0 0.0 0.0 0.04 0.04 0.0 0.01 0.01 0.01 0.03 0.0 0.01 0.0 0.02 0.0 0.0,3717,0.27885569523413134,0.70599561852734682,0.73872189941482547
0.0 0.0 0.01 0.0 0.0 0.0 0.06 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.01 0.04 0.0 0.0 0.02 0.01 0.04 0.0 0.0 0.01 0.05 0.0 0.02,4059,0.21169623377014593,0.78416963221522873,0.75703593688760296
0.0 0.0 0.0 0.01 0.0 0.0 0.02 0.0 0.0 0.01 0.0 0.0 0.0 0.02 0.01 0.01 0.0 0.02 0.12 0.0 0.03 0.01 0.0 0.0 0.02 0.0 0.05,3181,0.35732656115743772,0.74736227463325577,0.76570246555583543
0.0 0.0 0.14 0.0 0.0 0.0 0.07 0.03 0.0 0.01 0.0 0.03 0.0 0.0 0.01 0.01 0.01 0.0 0.01 0.06 0.24 0.0 0.01 0.0 0.07 0.0 0.03,418,0.32692300502638516,0.79187302854758201,0.77344710565231756
0.0 0.0 0.02 0.0 0.0 0.0 0.17 0.01 0.01 0.02 0.02 0.0 0.02 0.0 0.02 0.07 0.0 0.0 0.07 0.02 0.11 0.01 0.02 0.01 0.02 0.0 0.03,503,0.27059551711610325,0.6932849959920474,0.68245971120977034
