Node ID,Protein ID,Protein Name,Disease Node,Degree
8066,10015,PDCD6IP,0,142
8097,10056,FARSB,0,104
8112,10075,HUWE1,0,461
8160,10128,LRPPRC,0,203
8301,10289,EIF1B,0,171
8335,10327,AKR1A1,0,40
8391,10399,RACK1,0,286
8416,10426,TUBGCP3,0,144
8425,10436,EMG1,0,103
8465,10480,EIF3M,0,106
8467,10482,NXF1,0,1153
8473,10488,CREB3,0,283
8492,10513,APPBP2,0,156
8493,10514,MYBBP1A,0,253
8503,10524,KAT5,0,265
8507,10528,NOP56,0,256
8571,10598,AHSA1,0,167
8578,10606,PAICS,0,100
8602,10632,ATP5MG,0,68
8611,10642,IGF2BP1,0,256
8707,10768,AHCYL1,0,153
8755,10840,ALDH1L1,1,1
8768,10856,RUVBL2,0,367
8860,10963,STIP1,0,162
8865,10969,EBNA1BP2,0,249
8866,10970,CKAP4,0,85
8867,10971,YWHAQ,0,464
8875,10980,COPS6,0,321
8879,10985,GCN1,0,234
8881,10987,COPS5,0,828
8882,10988,METAP2,0,34
8883,10989,IMMT,0,271
8958,11077,HSF2BP,0,279
9007,11137,PWP1,0,135
9009,11140,CDC37,0,311
9055,11190,CEP250,0,242
9081,11224,RPL35,0,277
9117,11269,DDX19B,0,172
9165,11338,U2AF2,0,368
9172,11345,GABARAPL2,0,159
9173,11346,SYNPO,0,171
9626,12412,,0,150
9828,51295,ECSIT,0,112
10233,13669,,0,120
10529,79711,IPO4,0,121
10608,341947,COX8C,0,24
11038,1408,CRY2,0,182
11236,57154,SMURF1,0,390
11343,3783746,,0,153
11379,81027,TUBB1,0,185
11808,16341,,0,109
11821,81910,,0,218
11954,16562,,0,20
12892,51031,GLOD4,0,36
12924,51070,NOSIP,0,22
12992,51143,DYNC1LI1,0,47
13019,83939,EIF2A,0,111
13061,83987,CCDC8,0,547
13143,84076,TKTL2,0,22
13185,84129,ACAD11,0,53
13200,51377,UCHL5,0,219
13220,51400,PPME1,0,94
13221,23534,TNPO3,0,69
13345,84305,PYM1,0,72
13355,51547,SIRT7,0,666
13377,51569,UFM1,0,80
13400,51602,NOP58,0,189
13424,51631,LUC7L2,0,268
13654,84706,GPT2,0,12
13710,84790,TUBA1C,0,175
13871,23043,TNIK,0,127
14072,3313,HSPA9,0,264
14737,54059,YBEY,0,12
14789,101929876,,0,66
15335,54984,PINX1,0,121
15384,55037,PTCD3,0,164
15430,55093,WDYHV1,0,307
15463,55131,RBM28,0,138
15504,677770,SCARNA22,0,117
15616,55299,BRIX1,0,167
15853,55646,LYAR,0,232
15924,55720,TSR1,0,118
16031,55832,CAND1,0,700
16098,121441,NEDD1,0,145
16241,23291,FBXW11,0,403
16308,23363,OBSL1,0,619
16350,23406,COTL1,0,28
16354,23411,SIRT1,0,261
16374,23435,TARDBP,0,319
16388,23450,SF3B3,0,489
16389,23451,SF3B1,0,446
16422,56257,MEPCE,0,186
16453,23521,RPL13A,0,273
16637,23760,PITPNB,0,27
16762,155030,,0,177
16837,220717,RPLP0P6,0,100
17064,220988,HNRNPA3,0,190
17396,155908,,0,222
17992,25824,PRDX5,0,80
17995,25828,TXN2,0,94
18029,25873,RPL36,0,187
18060,25913,POT1,0,215
18244,26146,TRAF3IP1,0,74
18252,26156,RSL1D1,0,227
18323,26260,FBXO25,0,193
18332,26270,FBXO6,0,622
18338,26277,TINF2,0,118
18378,26354,GNL3,0,250
18410,26415,,0,82
18478,26528,DAZAP1,0,80
18511,26578,OSTF1,0,58
18530,26608,TBL2,0,136
18543,387082,SUMO4,0,80
18773,92591,ASB16,0,24
18979,27335,EIF3K,0,115
19135,93185,IGSF8,0,189
19179,60491,NIF3L1,0,169
19536,10202,DHRS2,0,90
19689,192669,AGO3,0,72
19816,29088,MRPL15,0,109
19879,4869,NPM1,0,746
20038,2078,ERG,0,88
20227,29979,UBQLN1,0,283
20462,5106,PCK2,1,41
21047,654364,NME1-NME2,0,117
21340,65057,ACD,0,69
21518,5443,POMC,1,23
21529,196528,ARID2,0,38
